filename,question_num,questions
2000-heffernan-exam-2.txt,1,"Question 1 Let i iz −= −= 2 z and 432 1 a. i. Express 11 z in Cartesian form. ___________________________________________________ _____________________________ ___________________________________________________ _____________________________ ___________________________________________________ __________________________ 1 mark ii. Find the value of 1 Argz to the nearest minute. ___________________________________________________ ____________________________ ___________________________________________________ ____________________________ __________________________________________________ _____________________________ 1 mark iii. Verify that izzzz 10 Im 2121 −=++ __________________________________________________ _____________________________ __________________________________________________ _____________________________ __________________________________________________ _____________________________ 1 mark iv. Find algebraically the square roots of 1 zand express them in Cartesian form. __________________________________________________ _____________________________ __________________________________________________ _____________________________ __________________________________________________ _____________________________ __________________________________________________ _____________________________ __________________________________________________ _____________________________ __________________________________________________ _____________________________ __________________________________________________ _____________________________ __________________________________________________ _____________________________ 3 marks ___________________________________________________ ___________________________________ © THE HEFFERNAN GROUP 2000 Specialist Maths Tria 1 Examination 2 3 b. i. On the complex plane below sketch { }izizzS S −+=+−= 22: where 1 mark ii. Find algebraically the Cartesian equation of S. __________________________________________________ _____________________________ __________________________________________________ _____________________________ __________________________________________________ _____________________________ __________________________________________________ _____________________________ __________________________________________________ _____________________________ 1 mark iii. Given that 334πcisz=, state with reasons whether or not Sz∈4. __________________________________________________ _____________________________ __________________________________________________ _____________________________ __________________________________________________ _____________________________ 1 mark iv. Write down that subset of the complex plane for w hich the points are equidistant from the points 14 andzz __________________________________________________ _____________________________ __________________________________________________ _____________________________ __________________________________________________ _____________________________ 2 marks Tota 1 11 marks ___________________________________________________ ___________________________________ © THE HEFFERNAN GROUP 2000 Specialist Maths Tria 1 Examination 2 4"
2000-heffernan-exam-2.txt,2,"Question 2 Consider the function 116)(where] 4, 1 [ :2−= →xxf R f a. Find the coordinates of the x intercept of the graph of f. __________________________________________________ _____________________________ __________________________________________________ _____________________________ __________________________________________________ _____________________________ __________________________________________________ _____________________________ 1 mark b. The point ( m, n ) lies on f and the gradient of f at this point is -1. Find the values of m and n correct to 1 decima 1 place. __________________________________________________ _____________________________ __________________________________________________ _____________________________ __________________________________________________ _____________________________ __________________________________________________ _____________________________ __________________________________________________ _____________________________ __________________________________________________ _____________________________ __________________________________________________ _____________________________ __________________________________________________ _____________________________ __________________________________________________ _____________________________ __________________________________________________ _____________________________ __________________________________________________ _____________________________ 2 marks ___________________________________________________ ___________________________________ © THE HEFFERNAN GROUP 2000 Specialist Maths Tria 1 Examination 2 5 A sketch of a vase is made. In a cross sectiona 1 v iew, the sides of the vase have the shape of the gr aph of f(x) and of its reflection in the y axis. The cross sectiona 1 area of the vase is sha ded in Figure 1 below. Figure 1 c. Find this shaded area. __________________________________________________ _____________________________ __________________________________________________ _____________________________ __________________________________________________ _____________________________ __________________________________________________ _____________________________ __________________________________________________ _____________________________ __________________________________________________ _____________________________ __________________________________________________ _____________________________ __________________________________________________ _____________________________ __________________________________________________ _____________________________ __________________________________________________ _____________________________ 3 marks ___________________________________________________ ___________________________________ © THE HEFFERNAN GROUP 2000 Specialist Maths Tria 1 Examination 2 6 d. That part of the vase which holds the water is for med by rotating the function [] 114)( where 1 , 02+= → xxgR g about the y axis. The cross sectiona 1 area of the clay vase is shaded and is shown in Figure 2 below. Al 1 measurements are in centimeters. Figure 2 Find the volume of clay used to make the vase, expr essing your answer as an exact value. __________________________________________________ _____________________________ __________________________________________________ _____________________________ __________________________________________________ _____________________________ __________________________________________________ _____________________________ __________________________________________________ _____________________________ __________________________________________________ _____________________________ __________________________________________________ _____________________________ __________________________________________________ _____________________________ __________________________________________________ _____________________________ __________________________________________________ _____________________________ __________________________________________________ _____________________________ __________________________________________________ _____________________________ 4 marks Tota 1 10 marks ___________________________________________________ ___________________________________ © THE HEFFERNAN GROUP 2000 Specialist Maths Tria 1 Examination 2 7"
2000-heffernan-exam-2.txt,3,"Question 3 Particle A moves so that its position ~r (metres) from the origin at time t (secs) is given by 0 )2 cos(2) 1)2 sin(2( ~~ ~≥ ++ = tjt it r a. i. Find the distance of particle A from the origin a t time t. __________________________________________________ _____________________________ __________________________________________________ _____________________________ __________________________________________________ _____________________________ __________________________________________________ _____________________________ __________________________________________________ _____________________________ 1 mark ii. Find the furtherest distance that particle A can be from the origin and state the value(s) of t when this occurs. __________________________________________________ _____________________________ __________________________________________________ _____________________________ __________________________________________________ _____________________________ __________________________________________________ _____________________________ __________________________________________________ _____________________________ __________________________________________________ _____________________________ __________________________________________________ _____________________________ 2 marks b. Show that speed of particle A is constant. __________________________________________________ _____________________________ __________________________________________________ _____________________________ __________________________________________________ _____________________________ __________________________________________________ _____________________________ __________________________________________________ _____________________________ __________________________________________________ _____________________________ __________________________________________________ _____________________________ 2 marks ___________________________________________________ ___________________________________ © THE HEFFERNAN GROUP 2000 Specialist Maths Tria 1 Examination 2 8 A second particle B moves so that its position ~r (metres) from the origin at time t (secs) is given by 0)cossin 4 ())2 cos( 34( ~~ ~≥ + = tjttit r c. i. Find the Cartesian equation of the path of partic le B. __________________________________________________ _____________________________ __________________________________________________ _____________________________ __________________________________________________ _____________________________ __________________________________________________ _____________________________ __________________________________________________ _____________________________ __________________________________________________ _____________________________ __________________________________________________ _____________________________ 2 marks ii. Write down the domain and range of the Cartesian re lation found in part i. __________________________________________________ _____________________________ __________________________________________________ _____________________________ __________________________________________________ _____________________________ 2 marks iii. Sketch the path of particle B on the set of axes below. 1 mark ___________________________________________________ ___________________________________ © THE HEFFERNAN GROUP 2000 Specialist Maths Tria 1 Examination 2 9 d. Show that the acceleration and the position of par ticle B are always parallel. __________________________________________________ _____________________________ __________________________________________________ _____________________________ __________________________________________________ _____________________________ __________________________________________________ _____________________________ __________________________________________________ _____________________________ __________________________________________________ _____________________________ __________________________________________________ _____________________________ __________________________________________________ _____________________________ __________________________________________________ _____________________________ 2 marks e. Show that the particle A and particle B do not co 1 lide in the interva 1 ] 1 . 0, 0 [∈t __________________________________________________ _____________________________ __________________________________________________ _____________________________ __________________________________________________ _____________________________ __________________________________________________ _____________________________ __________________________________________________ _____________________________ __________________________________________________ _____________________________ __________________________________________________ _____________________________ __________________________________________________ _____________________________ __________________________________________________ _____________________________ __________________________________________________ _____________________________ __________________________________________________ _____________________________ __________________________________________________ _____________________________ __________________________________________________ _____________________________ __________________________________________________ _____________________________ 2 marks Tota 1 14 marks ___________________________________________________ ___________________________________ © THE HEFFERNAN GROUP 2000 Specialist Maths Tria 1 Examination 2 10"
2000-heffernan-exam-2.txt,4,"Question 4 A suitcase on wheels has a mass of 20 kg and rests on the carpeted floor of an airport. The coefficie nt of friction between the suitcase and the carpet is 0.5 The suitcase has a handle which extends from one of its corners and locks into position at an angle of θ with the horizonta 1 as indicated in Figure 1 below. Figure 1 A man exerts a pulling force of P newton on the handle. a. Show on the diagram below the 4 forces, including the norma 1 force N, acting on the suitcase. 1 mark b. When the pulling force P is equa 1 to 3220 gnewton, the suitcase is on the point of moving. Show that .45 equals° θ __________________________________________________ _____________________________ __________________________________________________ _____________________________ __________________________________________________ _____________________________ __________________________________________________ _____________________________ __________________________________________________ _____________________________ __________________________________________________ _____________________________ __________________________________________________ _____________________________ __________________________________________________ _____________________________ 2 marks θ ___________________________________________________ ___________________________________ © THE HEFFERNAN GROUP 2000 Specialist Maths Tria 1 Examination 2 11 The man decides to take off his backpack which has a mass of 8 kg and is uncomfortable and attach it t o the suitcase using a strap. The coefficient of frictio n between the backpack and the carpet is 0.6 c. Suggest why the coefficient of friction between th e backpack and the carpet is greater than the coefficient of friction between the suitcase and th e carpet. __________________________________________________ _____________________________ __________________________________________________ _____________________________ __________________________________________________ _____________________________ 1 mark d. i. The man exerts a pulling force on the handle of t he suitcase of P newton. Show the forces acting now on the suitcase and the backpack on Figure 2 below. Figure 2 2 marks ii. Show that if the pulling force P, is 90 newton and the tension in the strap connect ing the suitcase and the backpack is 20 newton, that the su itcase and the backpack are not about to move. __________________________________________________ _____________________________ __________________________________________________ _____________________________ __________________________________________________ _____________________________ __________________________________________________ _____________________________ __________________________________________________ _____________________________ __________________________________________________ _____________________________ 1 mark θ ___________________________________________________ ___________________________________ © THE HEFFERNAN GROUP 2000 Specialist Maths Tria 1 Examination 2 12 The man comes to a short ramp which has the same ca rpet as that in the other parts of the airport. Th e ramp is inclined at an angle of °30. The man changes the position of the handle of his s uitcase. He locks it into a position which is para 1 le 1 to the slope of the ramp. The man exerts a pulling fo rce of P newton on the handle. e. On Figure 3 below, show the forces acting on the s uitcase and the backpack now. Figure 3 2 marks Figure 3 °30 ___________________________________________________ ___________________________________ © THE HEFFERNAN GROUP 2000 Specialist Maths Tria 1 Examination 2 13 f. If the man exerts a pulling force of 300 newton, fi nd the acceleration of the suitcase and the backpack. Express your answer correct to 4 decima 1 places. __________________________________________________ _____________________________ __________________________________________________ _____________________________ __________________________________________________ _____________________________ __________________________________________________ _____________________________ __________________________________________________ _____________________________ __________________________________________________ _____________________________ __________________________________________________ _____________________________ __________________________________________________ _____________________________ __________________________________________________ _____________________________ __________________________________________________ _____________________________ __________________________________________________ _____________________________ __________________________________________________ _____________________________ __________________________________________________ _____________________________ __________________________________________________ _____________________________ __________________________________________________ _____________________________ __________________________________________________ _____________________________ __________________________________________________ _____________________________ 5 marks ii. The ramp is 40 metres long and the man is station ary before walking up it. Assuming that he maintains a pulling force of 300 newton for the dur ation of the walk up the ramp, how long wil 1 it take him to go up the ramp? (Express your answer t o the nearest tenth of a second.) ___________________________________________________ ____________________________ ___________________________________________________ ____________________________ __________________________________________________ _____________________________ __________________________________________________ _____________________________ __________________________________________________ _____________________________ __________________________________________________ _____________________________ 1 mark Tota 1 15 marks ___________________________________________________ ___________________________________ © THE HEFFERNAN GROUP 2000 Specialist Maths Tria 1 Examination 2 14"
2000-heffernan-exam-2.txt,5,"Question 5 A specia 1 container is used to transport certain pa thology samples which have been frozen. The temperature, C, in degrees Celsius, of the samples at time t, minutes, after having been placed in the specia 1 container, can be described by the differentia 1 equ ation 0) 2)(3( >+−= t CCdtdC a. Find an expression for t in terms of C given that when C = -3, 6 log 51 et= __________________________________________________ _____________________________ __________________________________________________ _____________________________ __________________________________________________ _____________________________ __________________________________________________ _____________________________ __________________________________________________ _____________________________ __________________________________________________ _____________________________ __________________________________________________ _____________________________ __________________________________________________ _____________________________ __________________________________________________ _____________________________ __________________________________________________ _____________________________ __________________________________________________ _____________________________ __________________________________________________ _____________________________ __________________________________________________ _____________________________ __________________________________________________ _____________________________ __________________________________________________ _____________________________ __________________________________________________ _____________________________ 4 marks b. Express C in terms of t. __________________________________________________ _____________________________ __________________________________________________ _____________________________ __________________________________________________ _____________________________ 1 mark ___________________________________________________ ___________________________________ © THE HEFFERNAN GROUP 2000 Specialist Maths Tria 1 Examination 2 15 c. Find how many degrees below °−2 Celsius the temperature of the pathology sample is at t = 4 minutes. Express your answer to 1 significant figu re. __________________________________________________ _____________________________ __________________________________________________ _____________________________ __________________________________________________ _____________________________ __________________________________________________ _____________________________ __________________________________________________ _____________________________ 1 mark d. Graph the function obtained in part b. and use this to explain what happens to the temper ature of the pathology sample once it is placed in the speci a 1 container. __________________________________________________ _____________________________ __________________________________________________ _____________________________ __________________________________________________ _____________________________ __________________________________________________ _____________________________ __________________________________________________ _____________________________ 2 marks e. Show algebraically that the temperature of the pat hology sample approaches but never reaches °−2 Celsius. __________________________________________________ _____________________________ __________________________________________________ _____________________________ __________________________________________________ _____________________________ __________________________________________________ _____________________________ __________________________________________________ _____________________________ __________________________________________________ _____________________________ __________________________________________________ _____________________________ 2 marks Tota 1 10 marks"
2000-mav-exam-2.txt,1,"Question 1 The graph of y 1= f(x) is given below. a. Sketch y 2= . [3 marks] b. Find, using the trapezoida 1 rule, an approximate area for 2.75 ∫ 1 dx + 3.5 ∫ 2.75 dx correct to three decima 1 places. [2 marks] 1 f(x)1 f(x)y x 1 f(x)O 2.75 4 y 3.5 112 MAV Specialist Mathematics Tria 1 Examination 2, 2000 © Mathematica 1 Association of Victoria 2000 Page 3 c. Sketch the graph of y 3= ∫ dx [3 marks] Total: 8 marks"
2000-mav-exam-2.txt,2,"Question 2 Let P(z) = z 3+ 5 z 2+ 10 z+ 12 a. Show that P(–1 + √3 i) = 0. [3 marks] b. Hence, fully factorize P(z). [2 marks] c. Express the solutions of P(z) = 0 in exact polar form. [2 marks] Oy x 1 f(x)MAV Specialist Mathematics Tria 1 Examination 2, 2000 © Mathematica 1 Association of Victoria 2000 Page 4 d. Plot these points on the Argand diagram. [1 mark] e. On the Argand diagram above, plot the region defined by s= { z:|z|<3} and identify which solutions from 2(c) lie within t his region. [2 marks] Tota 1 10 marks"
2000-mav-exam-2.txt,3,"Question 3 Dangerous Dan leaps across a pit after riding his m otorcycle up a ramp. He reaches a speed of 17 m/s at the point F (the bo ttom of the ramp) and decelerates at 2 m/s 2 as he travels up the ramp, whose length is 4 m. The combined mass of the motorcycle and Dan is 250 kg. The coefficient of friction between Dan’ s motorcycle and the ramp is 0.1. Throughout this question, assume air resistance is n egligible, and take the acceleration due to gravity to have magnitude g m/s 2, where g = 9.8. a. On the diagram below, indicate al 1 the forces on the Dan and his motorcycle as it travels up the ramp. [1 mark] T F 45 °Dan and his motor bike Dan and his motor bike represented as a point T F 45 °Motor bike Dangerous Pit F 1 Im Re zzMAV Specialist Mathematics Tria 1 Examination 2, 2000 © Mathematica 1 Association of Victoria 2000 Page 5 b. What is the magnitude of the force generated by the motorcycle, to the nearest newton, as it travels up the ramp? [3 marks] c. What is the velocity of the motorcycle when it reac hes the point T (the top of the ramp). [2 marks] d. At the instant after Dan leaves the ramp, his accele ration is r•• (t) = – gj ~. Express the velocity of Dan and his motor cycle in the form of r•(t) = x•(t)i~+ y•(t)j~, where i~and j~are the horizonta 1 and vertica 1 components of the v elocity, as he leaves the ramp, and tis time in seconds from t= 0. [3 marks] MAV Specialist Mathematics Tria 1 Examination 2, 2000 © Mathematica 1 Association of Victoria 2000 Page 6 e. Find r(t), and hence express the position of Dan across the pit in cartesian form. [3 marks] f. Sketch the graph of Dan ’s jump from the point he leaves the ramp unti 1 he r eaches the ground. [2 marks] g. Hence, or otherwise, find the distance from the ramp and the point at which Dan lands on the ground. [1 mark] Tota 1 15 marks y xMAV Specialist Mathematics Tria 1 Examination 2, 2000 © Mathematica 1 Association of Victoria 2000 Page 7"
2000-mav-exam-2.txt,4,"Question 4 The movement of a particle (P) is controlled by a 1 aser beam, which is located at the point A. The particle velocity is given by = 2 xm/s and begins to move ( t= 0) at x= 1 metre. a. Express θin terms of x. [1 mark] b. Find the rate of change for the angle θ at x= 1 m. [2 marks] dθ dt dx dt 1 m Plm A xm θMAV Specialist Mathematics Tria 1 Examination 2, 2000 © Mathematica 1 Association of Victoria 2000 Page 8 c. Show that = sin 2 θ. [3 marks] Let lrepresent the direct distance from A to P. d. i. Express lin terms of θ. [1 mark] ii. Find the rate of change of lwith respect to time in terms of θ. [2 marks] iii. Show that = . [2 marks] 2( l 2–1) dt d 1 dt dθ dt MAV Specialist Mathematics Tria 1 Examination 2, 2000 © Mathematica 1 Association of Victoria 2000 Page 9 iv. Express lin terms of t. [3 marks] Tota 1 14 marks"
2000-mav-exam-2.txt,5,"Question 5 There is a narrow strip of forest 100 metres wide s eparating Luij ’s house from a nearby golf course. Luij has been down at the waterhole, which i s 100 metres inside the golf course recovering golf balls that have been lost by waywar d golf shots. Luij looks at his watch and realises that he is late home for lunch. He needs t o find the quickest way home from the waterhole ( W), across the golf course and through the forest to his home ( H). Luij can run at 5 m/s across the golf course but can only trave 1 at 3 m/s through the rough forest. MAV Specialist Mathematics Tria 1 Examination 2, 2000 © Mathematica 1 Association of Victoria 2000 Page 10 a. i. What distance, to the nearest metre, wil 1 Luij have t o trave 1 if he runs from Wto Eacross the golf course and then from Eto Hto reach home? (Assume the forest extends past Luij ’s home, beyond EH .) ii. If he follows this route, how long, in minutes and seco nds, wil 1 it take Luij to arrive home? [3 marks] b. i. If Luij takes the direct route home from Wto H, how far, to the nearest metre wil 1 he run? ii . How long wil 1 it take Luij if he takes this direct route? [3 marks] MAV Specialist Mathematics Tria 1 Examination 2, 2000 © Mathematica 1 Association of Victoria 2000 Page 11 Let Xbe a point on BE and let the distance from Bto Xbe xmetres. Assume Luij runs directly from Wto Xand then directly from Xto H. Let dmetres be the tota 1 distance Luij travels from Wto Hand let tseconds be the time he takes to run home over this route. c. i. Express din terms of x. ii. Hence express tin terms of x, stating the domain of the function. [3 marks] d. i. Use a graphics calculator to find to the nearest se cond, the shortest time that Luij can take to reach home. ii. Hence, find to the nearest metre, the distance that L uij travels if he takes the quickest route home. [4 marks] Total: 13 marks END OF PAPER — TOTAL MARKS 60"
